class,FID,KID_mean,KID_std,MMD_RBF,Sliced_Wasserstein,KL_Gauss
The_Eiffel_Tower,183.31473786440097,0.09562709808349609,0.010639085354650012,0.11680394411087036,0.3521572654928855,21594508.658794995
The_Great_Wall_of_China,221.28872243569884,0.10956407070159913,0.011980738182455262,0.13724935054779053,0.36517728315382425,35391516.4739191
The_Mona_Lisa,193.64151066543656,0.06812836885452271,0.007929473526653002,0.07380646467208862,0.24277636981344258,39924069.95507621
aircraft_carrier,270.43525520160847,0.20945870399475097,0.019674442722731795,0.28235357999801636,0.382135673729062,44989662.85940329
airplane,230.91469472518008,0.14939066171646118,0.0147659316358076,0.22414237260818481,0.2739319495364515,57849204.14691229
alarm_clock,193.95971161564515,0.1073452377319336,0.013526000626913719,0.1453654170036316,0.3812258455856304,19784209.893572576
ambulance,151.37995500980162,0.09177845001220702,0.012750548216052402,0.16008532047271729,0.3294631837592422,19261621.30620347
angel,350.7439340721134,0.1810714554786682,0.013958170062442387,0.16096335649490356,0.3828037184020958,99605006.4229206
animal_migration,241.66494432821827,0.140705623626709,0.02012814117822446,0.10866570472717285,0.2985943776104165,33471381.79548907
ant,259.19939085250377,0.20651644706726074,0.017098986236608802,0.319801390171051,0.3339941165100146,48629189.96611779
anvil,214.85362889963307,0.08322228908538819,0.006305836370576157,0.08782714605331421,0.3113608429391349,43360504.51207061
apple,326.77937584885126,0.2826904010772705,0.01175882971078486,0.4235472083091736,0.27605277756645213,121339282.90918824
arm,313.5082481790881,0.1373162293434143,0.007361561617915596,0.14329731464385986,0.4251333412538426,67382267.70648055
asparagus,377.9611006844603,0.20816983938217162,0.010930279988644034,0.18387669324874878,0.5629641118871229,42711802.48867144
axe,253.55849849187928,0.11755034685134888,0.011050635294368024,0.12999165058135986,0.4900746642068052,42300415.31412421
backpack,291.80796269198174,0.20529033422470092,0.010728370823959174,0.26808962225914,0.46998095383500926,38791325.244707
banana,350.2039244677902,0.2833145356178284,0.021906584453989405,0.31287944316864014,0.39007334402515237,63550548.88648825
bandage,325.01508255042677,0.16730620384216308,0.026365902210702043,0.13529837131500244,0.5314147462410123,35880536.21188657
barn,196.96520775427962,0.11880857944488525,0.011514356110122479,0.1547321081161499,0.24605875569229116,43219157.958802134
baseball,133.17619052671267,0.08687446117401124,0.017979581555576,0.17829805612564087,0.1397073548413311,43002454.84779405
baseball_bat,178.97113902732661,0.06841976404190063,0.009231861932278951,0.07831424474716187,0.11866722813499629,51733385.413807735
basket,180.21224799497782,0.0399622917175293,0.006835766322347491,0.03908318281173706,0.42819873785014023,26688756.57897431
basketball,248.74653621634872,0.14388697147369384,0.014278357584755319,0.1774919033050537,0.3681248350011168,52517434.51844861
bat,328.9163815655321,0.1526871132850647,0.007507292381310867,0.1525668501853943,0.5670531071305618,53529782.021708146
bathtub,274.36867620311216,0.18471508502960204,0.014067860692546506,0.21744388341903687,0.39599300121563025,36719090.64938246
beach,209.51851217600588,0.1033510184288025,0.012992241282962424,0.12867683172225952,0.40293111023498607,25732639.684750907
bear,287.89096323305677,0.2137926435470581,0.01251119738465395,0.3322692811489105,0.3498463471617148,47404405.84788078
beard,272.00306413753896,0.16430891513824464,0.010334392386135515,0.1740182638168335,0.4014693700805223,27400651.569472812
bed,191.00715658877604,0.11827855348587037,0.01129278742170697,0.16980260610580444,0.3157620075621433,19904604.175773896
bee,217.02314284174204,0.1464547896385193,0.019564495616517564,0.18453621864318848,0.2867007705022589,22060394.29804827
belt,178.72970371102025,0.03359671115875244,0.0068688464790642,0.03180348873138428,0.41655712089607333,21188250.104877707
bench,252.19572732770735,0.11125779628753663,0.008578582031999188,0.11585599184036255,0.5227006685605392,24665896.36682585
bicycle,113.60791503770125,0.04671482086181641,0.007541241455210846,0.08838677406311035,0.3993401948879208,8622232.090960026
binoculars,245.4455179024743,0.2000192880630493,0.02332416958928378,0.22684431076049805,0.25599277563458683,45373274.07163644
bird,171.65642312393072,0.10067435503005981,0.00975631852209022,0.13397544622421265,0.2732922291530817,16523075.794232411
birthday_cake,163.42664248627756,0.045917625427246096,0.007342899726734848,0.04390233755111694,0.23113294651721705,30359301.835930042
blackberry,278.9813305702422,0.15841917037963868,0.014950526471932396,0.18948668241500854,0.413698948045862,33602097.545661286
blueberry,206.9819435981964,0.06100181579589844,0.007650764428625164,0.05806642770767212,0.4276657508861955,18695612.66549079
book,184.619503044738,0.040049488544464114,0.0056134422447154395,0.03573501110076904,0.43694957463250134,12516295.462935595
boomerang,195.85675077627744,0.035573017597198484,0.004903353085443864,0.029012978076934814,0.49066656688129323,16098011.246232586
bottlecap,169.92252140150237,0.0307332706451416,0.007989167259295035,0.0359916090965271,0.4825745302757773,14255248.66682386
bowtie,137.37785973461303,0.054995489120483396,0.016151227616762704,0.08085107803344727,0.2903521108562523,21120527.512192342
bracelet,100.12044044471551,0.014824271202087402,0.0045908852000398495,0.017561674118041992,0.2759712749102455,14771120.910376223
brain,214.20052158302792,0.04328494310379028,0.004820115568287948,0.043878257274627686,0.5460549103933539,15821054.10216326
bread,223.58393390088042,0.11137324571609497,0.013661754883220294,0.12114185094833374,0.35897886935282197,25487403.685645886
bridge,242.9825755165204,0.0770832371711731,0.01060199513319396,0.07558703422546387,0.535069184928269,23487387.207046628
broccoli,352.2269170114655,0.3560119366645813,0.038312477164640514,0.3477320075035095,0.4335417291127897,30959737.98554729
broom,192.38721514449566,0.1163026213645935,0.018196301037438644,0.1353263258934021,0.35433550079077464,21513246.775620297
bucket,118.25550135218097,0.025455591678619386,0.0048677600357378,0.029512107372283936,0.2556546717170738,23314598.02394186
bulldozer,172.57517481170498,0.09888568639755249,0.014535732574147033,0.13374027609825134,0.3431102219014254,19157730.546782922
bus,150.97883818361055,0.08328677892684937,0.01094751840299733,0.12555372714996338,0.38554942176271306,13501549.381589651
bush,320.786426484712,0.11511260747909546,0.012087319411737917,0.08970862627029419,0.21351967205598066,103749314.29118752
butterfly,161.40395755258825,0.08057372808456421,0.010731341386810008,0.12550294399261475,0.35099147586658974,15895964.224425597
cactus,249.49395693954585,0.10412745714187623,0.010527697882615423,0.09647911787033081,0.47419606383329743,22320009.125526175
cake,223.11114072960163,0.07210070610046387,0.007033711961860427,0.06814122200012207,0.48393226737064765,18050941.890127342
calculator,204.68444235803847,0.12066409349441529,0.01653694588960118,0.13545608520507812,0.3968276533966502,33375271.185226377
calendar,160.8260301650981,0.04768548011779785,0.014018379818661655,0.03892624378204346,0.29561362123704216,36673324.32222042
camel,180.6873382935138,0.11881948232650758,0.018886370459292444,0.17351800203323364,0.30371146916907193,22464679.569772583
camera,198.41297848910435,0.07789826154708862,0.011794775388125487,0.09688460826873779,0.42940426599001597,25200239.072456397
camouflage,299.794881918443,0.17436685800552368,0.0206319851797236,0.1524387001991272,0.2388398934671139,75759168.12296882
campfire,240.12677346872974,0.12452873468399048,0.013331981188270453,0.12294787168502808,0.4059025491247346,24480978.206580862
candle,186.88533316033318,0.07792696237564087,0.011218291588710839,0.0948629379272461,0.3512844480585712,25293632.144508243
cannon,171.93611397244356,0.08331684112548828,0.015023980892914164,0.10500591993331909,0.2805396391965118,33763328.131274424
canoe,249.0757611856264,0.15524963140487671,0.015666250107365356,0.21464690566062927,0.47040841887794266,23652866.539702177
car,195.59407314204918,0.11523773670196533,0.010861793267476215,0.1652044653892517,0.3343763064812598,23582826.73541462
carrot,309.2046839367148,0.1442125153541565,0.010755965814138244,0.1397191286087036,0.5401194844682607,27104965.03581618
castle,267.87343665401204,0.17955578565597535,0.015033293770745927,0.23423385620117188,0.46723482503690156,26017710.563311856
cat,295.3783403590641,0.19440343141555785,0.008058463106406486,0.2451331615447998,0.5540032692148424,20873048.844401952
ceiling_fan,215.13155384655835,0.0872696852684021,0.015650300260399916,0.07374078035354614,0.4436913106225014,42366162.30854008
cell_phone,211.3479875095162,0.043757457733154294,0.005702939244787068,0.044345855712890625,0.5580799460169278,21617360.414041292
cello,175.5917429527551,0.13779815912246704,0.017213010596416063,0.21721136569976807,0.28769661355862663,22267838.926972225
chair,116.96602121064106,0.03195561647415161,0.0047585671209871986,0.05003172159194946,0.2768485078545288,24322242.40954015
chandelier,185.28541349338397,0.07534626960754394,0.0070073543008040895,0.07342344522476196,0.2644103245236789,32093071.192271303
church,174.321700340471,0.06810530662536621,0.0077241336695420895,0.08693808317184448,0.48229466898126383,15166863.593224991
circle,136.5484671788611,0.020229809284210205,0.004101800677510143,0.02003723382949829,0.13541452385445688,35354066.103541926
clarinet,114.69045419319995,0.040461521148681644,0.012196417862688113,0.0599362850189209,0.20401871942538607,22064839.69684069
clock,92.48914662337371,0.014916720390319825,0.0036404917658772323,0.02205955982208252,0.3942687480688802,8490235.181542542
cloud,259.42485830691123,0.17871383666992188,0.024455095020167978,0.21683210134506226,0.2635060412366088,41421553.0525597
coffee_cup,118.13675602123948,0.056481857299804684,0.010763387722850303,0.08121752738952637,0.21054591489818536,15617949.312385721
compass,91.01533270147856,0.024254035949707032,0.007325917480026509,0.03286701440811157,0.15951841228366426,20192595.390400283
computer,136.3138923708102,0.0752560830116272,0.010904437869614607,0.10641437768936157,0.16782318629488344,28149195.609116346
cookie,240.8082247431324,0.10261193752288818,0.01164518398270729,0.09520792961120605,0.4705306782294272,21494287.15730027
cooler,166.25197581288404,0.05076876401901245,0.0073498693568415045,0.057683706283569336,0.2933554933522597,28938277.85259356
couch,297.1921334831331,0.21829162836074828,0.014520075734867074,0.28433531522750854,0.2937504394957301,40366528.476556264
cow,244.76860247168509,0.18944622039794923,0.014021703394072247,0.24955403804779053,0.3356564324250372,26788837.75644631
crab,259.1762193701199,0.18174813508987428,0.012412819030344885,0.25061893463134766,0.4168692063785636,20961543.747128528
crayon,194.63543058761118,0.0488548469543457,0.005652756383416013,0.0468062162399292,0.38870665797106707,24180043.857991856
crocodile,299.0520719041638,0.25209951877593995,0.01474608183982039,0.3386896848678589,0.36836667492321473,27708208.607901968
crown,138.0103588439022,0.021013746261596678,0.004906609184902434,0.017421245574951172,0.10813313395458303,41631007.50138636
cruise_ship,206.339878735298,0.14598609685897826,0.02131746482354204,0.21492576599121094,0.2978116012010935,29349504.314195346
cup,140.86479984604608,0.03174770355224609,0.005249814117540705,0.03694576025009155,0.30466086821758176,25131669.37120681
